"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.5","...","...","","...","","25.5","...","","...","","...","44","...","","3.5","38","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1007.6","...","1009.3","2018-10-02 09:41","1005.7","2018-10-02 14:26","24.3","27.2","2018-10-02 13:54","22.3","2018-10-02 06:02","...","53","40","2018-10-02 14:01","3.9","46","12.3","7","2018-10-02 08:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1007.0","...","1008.7","2018-10-03 09:07","1004.8","2018-10-03 14:42","24.2","26.6","2018-10-03 11:11","22.1","2018-10-03 05:57","...","61","50","2018-10-03 09:48","3.7","42","13.8","30","2018-10-03 11:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1005.1","...","1007.4","2018-10-04 08:21","1002.9","2018-10-04 23:58","20.8","22.8","2018-10-04 02:57","19.4","2018-10-04 22:00","...","83","63","2018-10-04 04:00","2.5","49","9.4","102","2018-10-04 20:31","10.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1002.5","...","1004.3","2018-10-05 23:24","1001.1","2018-10-05 14:25","24.0","27.4","2018-10-05 11:52","20.1","2018-10-05 02:22","...","65","50","2018-10-05 10:51","1.8","7","6.5","332","2018-10-05 14:00","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1005.6","...","1007.1","2018-10-06 23:10","1003.6","2018-10-06 02:43","24.8","29.2","2018-10-06 12:26","21.1","2018-10-06 06:03","...","68","52","2018-10-06 12:27","1.9","33","8.9","25","2018-10-06 11:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1007.2","...","1009.1","2018-10-07 09:13","1005.6","2018-10-07 15:21","23.8","25.7","2018-10-07 10:57","22.3","2018-10-07 06:35","...","72","63","2018-10-07 10:58","2.8","29","9.8","21","2018-10-07 08:37","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1006.5","...","1008.1","2018-10-08 08:24","1005.0","2018-10-08 15:24","24.2","26.3","2018-10-08 12:26","23.0","2018-10-08 05:05","...","79","72","2018-10-08 12:26","2.4","25","9.3","16","2018-10-08 11:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1005.7","...","1007.1","2018-10-09 08:43","1003.7","2018-10-09 15:14","24.4","26.5","2018-10-09 15:17","23.1","2018-10-09 05:59","...","80","72","2018-10-09 16:05","2.2","18","7.9","5","2018-10-09 11:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1006.8","...","1009.3","2018-10-10 23:49","1004.2","2018-10-10 15:48","23.9","26.1","2018-10-10 11:57","22.1","2018-10-11 00:00","...","74","59","2018-10-10 11:58","3.1","41","13.0","18","2018-10-10 11:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1010.5","...","1011.9","2018-10-11 21:58","1008.4","2018-10-11 03:55","20.8","22.2","2018-10-11 01:02","20.1","2018-10-11 18:07","...","82","71","2018-10-11 19:31","3.9","47","12.6","13","2018-10-11 21:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1011.3","...","1012.7","2018-10-12 08:27","1010.0","2018-10-12 15:24","19.6","20.9","2018-10-12 13:10","18.3","2018-10-12 03:39","...","81","75","2018-10-12 14:09","3.4","47","11.9","26","2018-10-12 00:14","10.5","...","...","","...","","...","...","...","...","...","...","","..."
